satellite_id,name,country_operator,orbit_class,orbit_type,perigee_km,apogee_km,altitude_mean_km,eccentricity,inclination_deg,period_min,launch_mass_kg,launch_date,expected_lifetime_yrs,launch_site,launch_vehicle,norad_number,cospar_number,orbit_shell,launch_year
653,Starlink-1710,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46330.0,2020-062F,Shell-1 (400–600 km),2020
654,Starlink-1711,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46374.0,2020-062BB,Shell-1 (400–600 km),2020
655,Starlink-1712 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46581.0,2020-070BB,Shell-1 (400–600 km),2020
656,Starlink-1713,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46360.0,2020-062AM,Shell-1 (400–600 km),2020
657,Starlink-1714 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46562.0,2020-070AG,Shell-1 (400–600 km),2020
658,Starlink-1715 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-18,4.0,Cape Canaveral,Falcon 9,46671.0,2020-073B,Shell-1 (400–600 km),2020
659,Starlink-1716 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-18,4.0,Cape Canaveral,Falcon 9,46672.0,2020-073C,Shell-1 (400–600 km),2020
660,Starlink-1717 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-18,4.0,Cape Canaveral,Falcon 9,46673.0,2020-073D,Shell-1 (400–600 km),2020
661,Starlink-1718 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-18,4.0,Cape Canaveral,Falcon 9,46674.0,2020-073E,Shell-1 (400–600 km),2020
662,Starlink-1719 ,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46331.0,2020-062G,Shell-1 (400–600 km),2020
663,Starlink-1720 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-18,4.0,Cape Canaveral,Falcon 9,46675.0,2020-073F,Shell-1 (400–600 km),2020
664,Starlink-1721,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46332.0,2020-062H,Shell-1 (400–600 km),2020
665,Starlink-1722,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46361.0,2020-062AN,Shell-1 (400–600 km),2020
666,Starlink-1723,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46333.0,2020-062J,Shell-1 (400–600 km),2020
667,Starlink-1724,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46375.0,2020-062BC,Shell-1 (400–600 km),2020
668,Starlink-1725,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46334.0,2020-062K,Shell-1 (400–600 km),2020
669,Starlink-1726 ,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46362.0,2020-062AP,Shell-1 (400–600 km),2020
670,Starlink-1727,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,260.0,2020-09-03,4.0,Cape Canaveral,Falcon 9,46335.0,2020-062L,Shell-1 (400–600 km),2020
671,Starlink-1728 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46582.0,2020-070BC,Shell-1 (400–600 km),2020
672,Starlink-1729 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46583.0,2020-070BD,Shell-1 (400–600 km),2020
673,Starlink-1730 ,USA,LEO,Non-Polar Inclined,548.0,561.0,554.5,0.0009386959347245,53.0,95.6,260.0,2020-10-06,4.0,Cape Canaveral,Falcon 9,46563.0,2020-070AH,Shell-1 (400–600 km),2020
